,대학이름,대학이름(번호),부서이름,부서이름(번호),강좌번호,강좌총수,학수번호,학수번호(분반),과목명,교수,총학수번호,1학년(신청),1학년(총),2학년(신청),2학년(총),3학년(신청),3학년(총),4학년(신청),4학년(총),교환학생(신청),교환학생(총),대학원생(신청),대학원생(총),전체(신청),전체(총)
16,정보대학,5720,컴퓨터,5722,9,36,COSE221,01, 논리설계(영강),정성우,COSE221-01,15,-,61,-,12,-,5,-,0,13,0,-,93,87 + 13
17,정보대학,5720,컴퓨터,5722,10,36,COSE221,02, 논리설계,백승준,COSE221-02,11,-,39,-,22,-,9,-,1,4,0,-,82,83 + 4
18,정보대학,5720,컴퓨터,5722,11,36,COSE221,03, 논리설계,이숙윤,COSE221-03,1,-,4,-,3,-,4,-,2,4,0,-,14,96 + 4
19,정보대학,5720,컴퓨터,5722,12,36,COSE222,00, 컴퓨터구조,,COSE222-00,1,-,7,-,16,-,13,-,1,4,0,-,38,96 + 4
20,정보대학,5720,컴퓨터,5722,13,36,COSE312,00, 컴파일러,오학주,COSE312-00,0,-,6,-,28,-,35,-,1,4,0,-,70,96 + 4
21,정보대학,5720,컴퓨터,5722,14,36,COSE321,00, 컴퓨터시스템설계(영강),서태원,COSE321-00,0,-,5,-,25,-,17,-,1,9,0,-,48,64 + 9
22,정보대학,5720,컴퓨터,5722,15,36,COSE331,00, 컴퓨터그래픽스,한정현,COSE331-00,0,-,18,-,83,-,51,-,3,4,0,-,155,96 + 4
23,정보대학,5720,컴퓨터,5722,16,36,COSE341,01, 운영체제,유혁,COSE341-01,1,-,17,-,106,-,24,-,5,4,0,-,153,96 + 4
24,정보대학,5720,컴퓨터,5722,17,36,COSE341,02, 운영체제,최수경,COSE341-02,0,-,3,-,6,-,6,-,0,3,0,-,15,73 + 3
25,정보대학,5720,컴퓨터,5722,18,36,COSE342,00, 컴퓨터네트워크,민성기,COSE342-00,0,-,8,-,24,-,27,-,1,4,0,-,60,96 + 4
26,정보대학,5720,컴퓨터,5722,19,36,COSE361,01, 인공지능,육동석,COSE361-01,0,-,22,-,69,-,25,-,4,4,0,-,120,96 + 4
27,정보대학,5720,컴퓨터,5722,20,36,COSE361,02, 인공지능(영강),김현우,COSE361-02,1,-,7,-,25,-,15,-,7,13,0,-,55,87 + 13
28,정보대학,5720,컴퓨터,5722,21,36,COSE363,00, 정보와정보학,김자미,COSE363-00,1,-,7,-,74,-,75,-,1,4,0,-,158,96 + 4
29,정보대학,5720,컴퓨터,5722,22,36,COSE371,01, 데이터베이스,정순영,COSE371-01,1,-,23,-,53,-,18,-,1,4,0,-,96,96 + 4
30,정보대학,5720,컴퓨터,5722,23,36,COSE371,02, 데이터베이스,정연돈,COSE371-02,0,-,29,-,58,-,15,-,3,4,0,-,105,96 + 4
31,정보대학,5720,컴퓨터,5722,24,36,COSE385,00, 신호및시스템,이재훈,COSE385-00,0,-,1,-,13,-,20,-,0,3,0,-,34,74 + 3
32,정보대학,5720,컴퓨터,5722,25,36,COSE389,00, 기업가정신과리더쉽,정찬영,COSE389-00,0,-,5,-,18,-,20,-,0,2,0,-,43,45 + 2
33,정보대학,5720,컴퓨터,5722,26,36,COSE412,00, 일반기업현장실습A,이숙윤,COSE412-00,0,-,0,-,1,-,3,-,0,0,0,-,4,60 + 0
34,정보대학,5720,컴퓨터,5722,27,36,COSE421,00, 임베디드시스템,인호,COSE421-00,0,-,1,-,7,-,15,-,1,1,0,-,24,39 + 1
35,정보대학,5720,컴퓨터,5722,28,36,COSE423,01, 볼록최적화입문,백승준,COSE423-01,0,-,1,-,26,-,35,-,0,4,0,-,62,83 + 4
36,정보대학,5720,컴퓨터,5722,29,36,COSE423,02, 볼록최적화입문,주창희,COSE423-02,0,-,0,-,9,-,22,-,0,4,0,-,31,96 + 4
37,정보대학,5720,컴퓨터,5722,30,36,COSE441,00, 인터넷프로토콜(영강),김효곤,COSE441-00,1,-,4,-,36,-,59,-,3,11,0,-,103,75 + 11
38,정보대학,5720,컴퓨터,5722,31,36,COSE461,01, 자연어처리,임희석,COSE461-01,0,-,0,-,15,-,50,-,0,3,0,-,65,70 + 3
39,정보대학,5720,컴퓨터,5722,32,36,COSE471,01, 데이터과학(영강),강재우,COSE471-01,1,-,3,-,38,-,66,-,5,11,0,-,113,75 + 11
40,정보대학,5720,컴퓨터,5722,33,36,COSE471,02, 데이터과학,이상근,COSE471-02,0,-,2,-,3,-,7,-,1,4,0,-,13,83 + 4
41,정보대학,5720,컴퓨터,5722,34,36,COSE485,00, 정보이론과추론학습,정원주,COSE485-00,0,-,1,-,19,-,41,-,1,4,0,-,62,96 + 4
42,정보대학,5720,컴퓨터,5722,35,36,COSE487,00, 졸업프로젝트(캡스톤디자인)Ⅰ,이숙윤,COSE487-00,0,-,0,-,8,-,34,-,0,0,0,-,42,60 + 0
43,정보대학,5720,컴퓨터,5722,36,36,COSE488,00, 졸업프로젝트(캡스톤디자인)Ⅱ,이숙윤,COSE488-00,0,-,0,-,1,-,7,-,0,0,0,-,8,60 + 0
44,간호대학,0231,간호,0233,1,36,NRSG217,00, 간호학개론,송준아,NRSG217-00,1,-,0,-,3,-,2,-,0,0,0,-,6,80 + 0
45,간호대학,0231,간호,0233,2,36,NRSG220,00, 건강과식이(영강),,NRSG220-00,3,-,47,-,1,-,0,-,0,0,0,-,51,75 + 0
46,간호대학,0231,간호,0233,3,36,NRSG233,00, 간호정보학및실습,강지원,NRSG233-00,1,-,12,-,3,-,0,-,0,0,0,-,16,40 + 0
47,간호대학,0231,간호,0233,4,36,NRSG234,00, 간호연구방법론,정지연,NRSG234-00,0,-,0,-,0,-,20,-,0,0,0,-,20,75 + 0
48,간호대학,0231,간호,0233,5,36,NRSG241,00, 기초간호과학II,,NRSG241-00,3,-,46,-,3,-,0,-,0,0,0,-,52,75 + 0
49,간호대학,0231,간호,0233,6,36,NRSG243,00, 기초간호과학III,,NRSG243-00,3,-,46,-,5,-,1,-,0,0,0,-,55,75 + 0
50,간호대학,0231,간호,0233,7,36,NRSG245,00, 병원미생물학,이창규,NRSG245-00,3,-,47,-,1,-,0,-,0,0,0,-,51,75 + 0
51,간호대학,0231,간호,0233,8,36,NRSG251,01, 기초간호과학실습II,한아영,NRSG251-01,2,-,25,-,2,-,0,-,0,0,0,-,29,20 + 0
52,간호대학,0231,간호,0233,9,36,NRSG251,02, 기초간호과학실습II,한아영,NRSG251-02,0,-,19,-,0,-,0,-,0,0,0,-,19,20 + 0
53,간호대학,0231,간호,0233,10,36,NRSG251,03, 기초간호과학실습II,한아영,NRSG251-03,0,-,2,-,0,-,0,-,0,0,0,-,2,20 + 0
54,간호대학,0231,간호,0233,11,36,NRSG253,00, 간호통계,서문경애,NRSG253-00,2,-,37,-,0,-,0,-,0,0,0,-,39,30 + 0
55,간호대학,0231,간호,0233,12,36,NRSG261,00, 기본간호학I,장성옥,NRSG261-00,3,-,47,-,3,-,0,-,0,0,0,-,53,75 + 0
56,간호대학,0231,간호,0233,13,36,NRSG265,01, 기본간호학실습I,장성옥,NRSG265-01,2,-,32,-,2,-,0,-,0,0,0,-,36,20 + 0
57,간호대학,0231,간호,0233,14,36,NRSG265,02, 기본간호학실습I,박원희,NRSG265-02,0,-,15,-,0,-,0,-,0,0,0,-,15,20 + 0
58,간호대학,0231,간호,0233,15,36,NRSG265,03, 기본간호학실습I,박원희,NRSG265-03,0,-,0,-,0,-,0,-,0,0,0,-,0,20 + 0
59,간호대학,0231,간호,0233,16,36,NRSG272,00, 성인간호학I,박수경,NRSG272-00,0,-,2,-,38,-,0,-,0,0,0,-,40,75 + 0
60,간호대학,0231,간호,0233,17,36,NRSG274,00, 성인간호학II,"박수경,정선영",NRSG274-00,0,-,1,-,39,-,0,-,0,0,0,-,40,75 + 0
61,간호대학,0231,간호,0233,18,36,NRSG275,00, 성인간호학III,"김성렬,정선영",NRSG275-00,0,-,1,-,42,-,0,-,0,0,0,-,43,75 + 0
62,간호대학,0231,간호,0233,19,36,NRSG286,01, 성인간호학실습II,김성렬,NRSG286-01,0,-,0,-,0,-,17,-,0,0,0,-,17,23 + 0
63,간호대학,0231,간호,0233,20,36,NRSG286,02, 성인간호학실습II,박수경,NRSG286-02,0,-,0,-,3,-,14,-,0,0,0,-,17,23 + 0
64,간호대학,0231,간호,0233,21,36,NRSG286,03, 성인간호학실습II,정선영,NRSG286-03,0,-,0,-,0,-,13,-,0,0,0,-,13,23 + 0
65,간호대학,0231,간호,0233,22,36,NRSG317,00, 간호전문직과윤리,박진경,NRSG317-00,0,-,0,-,0,-,47,-,0,0,0,-,47,75 + 0
66,간호대학,0231,간호,0233,23,36,NRSG341,00, 아동간호학I,오원옥,NRSG341-00,0,-,1,-,42,-,0,-,0,0,0,-,43,75 + 0
67,간호대학,0231,간호,0233,24,36,NRSG361,00, 모성간호학I,박영주,NRSG361-00,0,-,1,-,42,-,0,-,0,0,0,-,43,75 + 0
68,간호대학,0231,간호,0233,25,36,NRSG380,00, 노인간호학,송준아,NRSG380-00,0,-,1,-,41,-,1,-,0,0,0,-,43,75 + 0
69,간호대학,0231,간호,0233,26,36,NRSG425,01, 간호학실습입문,박수경,NRSG425-01,0,-,0,-,12,-,0,-,0,0,0,-,12,23 + 0
70,간호대학,0231,간호,0233,27,36,NRSG425,02, 간호학실습입문,천홍진,NRSG425-02,0,-,1,-,4,-,0,-,0,0,0,-,5,23 + 0
71,간호대학,0231,간호,0233,28,36,NRSG425,03, 간호학실습입문,강지원,NRSG425-03,0,-,0,-,10,-,0,-,0,0,0,-,10,23 + 0
72,간호대학,0231,간호,0233,29,36,NRSG435,01, 아동간호학실습,오원옥,NRSG435-01,0,-,0,-,0,-,18,-,0,0,0,-,18,23 + 0
73,간호대학,0231,간호,0233,30,36,NRSG435,02, 아동간호학실습,박일태,NRSG435-02,0,-,0,-,0,-,14,-,0,0,0,-,14,23 + 0
74,간호대학,0231,간호,0233,31,36,NRSG435,03, 아동간호학실습,박일태,NRSG435-03,0,-,0,-,0,-,12,-,0,0,0,-,12,23 + 0
75,간호대학,0231,간호,0233,32,36,NRSG441,00, 정신간호학II,한금선,NRSG441-00,0,-,0,-,0,-,47,-,0,0,0,-,47,75 + 0
76,간호대학,0231,간호,0233,33,36,NRSG445,01, 모성간호학실습,박영주,NRSG445-01,0,-,0,-,0,-,17,-,0,0,0,-,17,23 + 0
77,간호대학,0231,간호,0233,34,36,NRSG445,02, 모성간호학실습,신현정,NRSG445-02,0,-,0,-,0,-,14,-,0,0,0,-,14,23 + 0
78,간호대학,0231,간호,0233,35,36,NRSG445,03, 모성간호학실습,전송이,NRSG445-03,0,-,0,-,0,-,13,-,0,0,0,-,13,23 + 0
79,간호대학,0231,간호,0233,36,36,NRSG465,00, 지역사회간호학Ⅰ,추진아,NRSG465-00,0,-,0,-,0,-,48,-,0,0,0,-,48,75 + 0
80,경영대학,0140,경영,0142,1,127,BUSS003,00, Topic Course,신명철,BUSS003-00,8,2,13,4,48,14,42,7,3,1,0,-,114,27 + 1
81,경영대학,0140,경영,0142,2,127,BUSS165,00, 창업가의마인드셋,김진영,BUSS165-00,0,28,12,29,28,22,23,11,2,4,0,-,65,90 + 4
82,경영대학,0140,경영,0142,3,127,BUSS203,01, 경영수학,박광태,BUSS203-01,0,6,5,27,10,24,2,9,0,3,0,-,17,66 + 3
83,경영대학,0140,경영,0142,4,127,BUSS203,02, 경영수학(영강),이남경,BUSS203-02,8,6,46,25,47,25,20,8,1,9,0,-,122,64 + 9
84,경영대학,0140,경영,0142,5,127,BUSS204,00, 세계경제와기업(영강),조경아,BUSS204-00,1,2,13,12,23,22,15,18,20,8,0,-,72,54 + 8
85,경영대학,0140,경영,0142,6,127,BUSS205,01, 마케팅원론,박찬수,BUSS205-01,20,20,75,50,33,16,6,4,3,4,0,-,137,90 + 4
86,경영대학,0140,경영,0142,7,127,BUSS205,02, 마케팅원론,김상용,BUSS205-02,7,20,39,50,13,16,3,4,2,4,0,-,64,90 + 4
87,경영대학,0140,경영,0142,8,127,BUSS205,03, 마케팅원론,류강석,BUSS205-03,0,20,0,50,0,16,1,4,0,4,0,-,1,90 + 4
88,경영대학,0140,경영,0142,9,127,BUSS205,04, 마케팅원론(영강),유시진,BUSS205-04,1,19,1,46,4,14,1,4,14,12,0,-,21,83 + 12
89,경영대학,0140,경영,0142,10,127,BUSS205,05, 마케팅원론(영강),Tony C. Garrett,BUSS205-05,2,19,1,46,1,14,1,4,12,12,0,-,17,83 + 12
90,경영대학,0140,경영,0142,11,127,BUSS205,06, 마케팅원론(영강),윤성아,BUSS205-06,21,19,66,46,17,14,2,4,17,12,0,-,123,83 + 12
91,경영대학,0140,경영,0142,12,127,BUSS205,07, 마케팅원론(영강),유원상,BUSS205-07,18,14,33,34,8,10,2,3,11,9,0,-,72,61 + 9
92,경영대학,0140,경영,0142,13,127,BUSS207,01, 재무관리(영강),김중혁,BUSS207-01,4,8,17,39,4,16,2,6,8,10,0,-,35,69 + 10
93,경영대학,0140,경영,0142,14,127,BUSS207,02, 재무관리(영강),황준호,BUSS207-02,23,9,96,46,29,20,9,8,11,12,0,-,168,83 + 12
94,경영대학,0140,경영,0142,15,127,BUSS207,03, 재무관리(영강),정지웅,BUSS207-03,1,9,8,46,8,20,1,8,3,12,0,-,21,83 + 12
95,경영대학,0140,경영,0142,16,127,BUSS207,04, 재무관리,이웅기,BUSS207-04,6,8,47,44,28,20,4,8,3,4,0,-,88,80 + 4
96,경영대학,0140,경영,0142,17,127,BUSS207,05, 재무관리(영강),SONG JUN MYUNG,BUSS207-05,15,6,58,35,19,14,5,6,4,9,0,-,101,61 + 9
97,경영대학,0140,경영,0142,18,127,BUSS207,06, 재무관리(영강),,BUSS207-06,3,9,10,46,4,20,0,8,1,12,0,-,18,83 + 12
98,경영대학,0140,경영,0142,19,127,BUSS207,07, 재무관리,,BUSS207-07,2,9,9,50,5,22,2,9,0,4,0,-,18,90 + 4
99,경영대학,0140,경영,0142,20,127,BUSS207,08, 재무관리,황인준,BUSS207-08,1,-,2,-,17,-,15,-,0,4,0,-,35,90 + 4
100,경영대학,0140,경영,0142,21,127,BUSS211,01, 오퍼레이션스관리,박광태,BUSS211-01,8,10,39,54,15,20,1,6,2,4,0,-,65,90 + 4
101,경영대학,0140,경영,0142,22,127,BUSS211,02, 오퍼레이션스관리,김대기,BUSS211-02,1,9,13,48,6,18,0,5,2,4,0,-,22,80 + 4
102,경영대학,0140,경영,0142,23,127,BUSS211,03, 오퍼레이션스관리,임호순,BUSS211-03,1,7,4,40,1,15,1,4,3,3,0,-,10,66 + 3
103,경영대학,0140,경영,0142,24,127,BUSS211,04, 오퍼레이션스관리(영강),신호정,BUSS211-04,30,10,93,50,21,18,4,5,16,12,0,-,164,83 + 12
104,경영대학,0140,경영,0142,25,127,BUSS211,05, 오퍼레이션스관리(영강),김대수,BUSS211-05,13,9,65,45,17,16,5,4,17,11,0,-,117,74 + 11
105,경영대학,0140,경영,0142,26,127,BUSS211,06, 오퍼레이션스관리(영강),김병조,BUSS211-06,0,10,26,50,4,18,1,5,8,12,0,-,39,83 + 12
106,경영대학,0140,경영,0142,27,127,BUSS211,07, 오퍼레이션스관리(영강),,BUSS211-07,3,10,6,50,1,18,0,5,5,12,0,-,15,83 + 12
107,경영대학,0140,경영,0142,28,127,BUSS213,01, 중급회계I,권수영,BUSS213-01,8,7,25,52,4,22,1,9,3,4,0,-,41,90 + 4
108,경영대학,0140,경영,0142,29,127,BUSS213,02, 중급회계I(영강),최우석,BUSS213-02,14,5,63,36,20,13,6,5,3,8,0,-,106,59 + 8
109,경영대학,0140,경영,0142,30,127,BUSS213,03, 중급회계I(영강),최우석,BUSS213-03,7,5,79,36,18,13,3,5,3,8,0,-,110,59 + 8
110,경영대학,0140,경영,0142,31,127,BUSS213,04, 중급회계I(영강),지승민,BUSS213-04,5,7,44,49,27,19,13,8,2,12,0,-,91,83 + 12
111,경영대학,0140,경영,0142,32,127,BUSS213,05, 중급회계I(영강),배진한,BUSS213-05,4,5,2,36,0,14,1,6,1,9,0,-,8,61 + 9
112,경영대학,0140,경영,0142,33,127,BUSS213,06, 중급회계I(영강),유지연,BUSS213-06,15,7,93,49,26,19,7,8,0,12,0,-,141,83 + 12
113,경영대학,0140,경영,0142,34,127,BUSS214,01, 중급회계II,배길수,BUSS214-01,0,1,8,10,29,29,11,13,1,2,0,-,49,53 + 2
114,경영대학,0140,경영,0142,35,127,BUSS214,02, 중급회계II(영강),김재영,BUSS214-02,0,1,18,14,45,41,21,18,4,11,0,-,88,74 + 11
115,경영대학,0140,경영,0142,36,127,BUSS215,01, 경영정보시스템,한재민,BUSS215-01,0,6,7,30,9,25,10,15,0,3,0,-,26,76 + 3
116,경영대학,0140,경영,0142,37,127,BUSS215,02, 경영정보시스템,정호원,BUSS215-02,5,4,17,28,4,23,8,14,0,3,0,-,34,69 + 3
117,경영대학,0140,경영,0142,38,127,BUSS215,03, 경영정보시스템(영강),홍세준,BUSS215-03,10,5,58,29,38,22,21,13,6,10,0,-,133,69 + 10
118,경영대학,0140,경영,0142,39,127,BUSS215,04, 경영정보시스템(영강),이재남,BUSS215-04,0,5,3,26,3,21,2,12,2,9,0,-,10,64 + 9
119,경영대학,0140,경영,0142,40,127,BUSS215,05, 경영정보시스템(영강),이동원,BUSS215-05,11,6,56,34,22,27,10,16,11,12,0,-,110,83 + 12
120,경영대학,0140,경영,0142,41,127,BUSS215,06, 경영정보시스템(영강),고병완,BUSS215-06,15,5,58,31,33,24,16,14,3,11,0,-,125,74 + 11
121,경영대학,0140,경영,0142,42,127,BUSS215,07, 경영정보시스템(영강),,BUSS215-07,0,5,1,30,3,25,1,14,0,11,0,-,5,74 + 11
122,경영대학,0140,경영,0142,43,127,BUSS216,00, 비즈니스애널리틱스I(영강),김기훈,BUSS216-00,0,1,8,21,17,23,13,6,13,7,0,-,51,51 + 7
123,경영대학,0140,경영,0142,44,127,BUSS238,00, 광고론(영강),서지영,BUSS238-00,1,1,28,25,50,24,24,10,26,9,0,-,129,60 + 9
124,경영대학,0140,경영,0142,45,127,BUSS244,01, 관리회계,김진배,BUSS244-01,1,1,20,30,28,25,6,8,2,3,0,-,57,64 + 3
125,경영대학,0140,경영,0142,46,127,BUSS244,02, 관리회계(영강),유승원,BUSS244-02,2,1,38,20,68,18,26,5,7,6,0,-,141,44 + 6
126,경영대학,0140,경영,0142,47,127,BUSS244,03, 관리회계(영강),한승수,BUSS244-03,0,1,14,21,24,18,10,6,6,6,0,-,54,46 + 6
127,경영대학,0140,경영,0142,48,127,BUSS252,01, 마케팅조사론(영강),유시진,BUSS252-01,1,1,14,17,17,25,5,8,19,7,0,-,56,51 + 7
128,경영대학,0140,경영,0142,49,127,BUSS252,02, 마케팅조사론(영강),유원상,BUSS252-02,2,1,23,18,34,27,19,8,12,8,0,-,90,54 + 8
129,경영대학,0140,경영,0142,50,127,BUSS254,01, 투자론(영강),정지웅,BUSS254-01,0,1,5,16,19,34,10,12,8,9,0,-,42,63 + 9
130,경영대학,0140,경영,0142,51,127,BUSS254,02, 투자론(영강),손범진,BUSS254-02,1,1,13,17,26,35,13,13,10,9,0,-,63,66 + 9
131,경영대학,0140,경영,0142,52,127,BUSS254,03, 투자론,정재웅,BUSS254-03,0,1,20,15,53,32,30,12,3,3,0,-,106,60 + 3
132,경영대학,0140,경영,0142,53,127,BUSS254,04, 투자론,정재웅,BUSS254-04,1,1,24,22,56,49,31,18,3,4,0,-,115,90 + 4
133,경영대학,0140,경영,0142,54,127,BUSS256,00, 빅데이터분석과해석의기초,정호원,BUSS256-00,1,1,15,6,28,13,17,17,3,1,0,-,64,37 + 1
134,경영대학,0140,경영,0142,55,127,BUSS259,01, 벤처경영,남대일,BUSS259-01,3,3,16,25,14,27,17,14,0,3,0,-,50,69 + 3
135,경영대학,0140,경영,0142,56,127,BUSS259,02, 벤처경영,이준만,BUSS259-02,0,1,8,14,9,15,11,8,3,1,0,-,31,38 + 1
136,경영대학,0140,경영,0142,57,127,BUSS311,01, 조직행동론(영강),권성우,BUSS311-01,3,4,39,31,33,24,7,7,15,9,0,-,97,66 + 9
137,경영대학,0140,경영,0142,58,127,BUSS311,02, 조직행동론(영강),김태규,BUSS311-02,0,4,1,31,0,22,1,7,15,9,0,-,17,64 + 9
138,경영대학,0140,경영,0142,59,127,BUSS311,03, 조직행동론(영강),전재욱,BUSS311-03,3,4,56,31,59,22,18,7,12,9,0,-,148,64 + 9
139,경영대학,0140,경영,0142,60,127,BUSS311,04, 조직행동론(영강),이동섭,BUSS311-04,1,4,2,31,3,22,1,7,7,9,0,-,14,64 + 9
140,경영대학,0140,경영,0142,61,127,BUSS311,05, 조직행동론(영강),,BUSS311-05,0,4,0,31,0,22,1,7,0,9,0,-,1,64 + 9
141,경영대학,0140,경영,0142,62,127,BUSS311,06, 조직행동론,배보경,BUSS311-06,0,4,20,32,16,22,9,8,7,3,0,-,52,66 + 3
142,경영대학,0140,경영,0142,63,127,BUSS313,01, 국제경영론,신만수,BUSS313-01,1,1,1,15,4,32,3,19,4,3,0,-,13,67 + 3
143,경영대학,0140,경영,0142,64,127,BUSS313,02, 국제경영론(영강),조경아,BUSS313-02,1,1,14,14,31,29,13,17,19,9,0,-,78,61 + 9
144,경영대학,0140,경영,0142,65,127,BUSS313,03, 국제경영론(영강),김순성,BUSS313-03,0,1,17,17,56,36,49,20,19,11,0,-,141,74 + 11
145,경영대학,0140,경영,0142,66,127,BUSS313,04, 국제경영론(영강),홍가혜,BUSS313-04,0,1,10,16,50,36,18,21,14,11,0,-,92,74 + 11
146,경영대학,0140,경영,0142,67,127,BUSS313,05, 국제경영론(영강),유다선,BUSS313-05,1,2,2,18,9,39,5,24,14,12,0,-,31,83 + 12
147,경영대학,0140,경영,0142,68,127,BUSS317,00, 소셜미디어애널리틱스(영강),고병완,BUSS317-00,0,1,8,8,35,22,20,7,13,5,0,-,76,38 + 5
148,경영대학,0140,경영,0142,69,127,BUSS321,00, 지역연구(중국),김익수,BUSS321-00,0,1,3,10,11,32,17,20,1,3,0,-,32,63 + 3
149,경영대학,0140,경영,0142,70,127,BUSS325,00, Korean Business & Management in the Global Context(영강),Martin Hemmert,BUSS325-00,0,1,4,5,28,18,32,14,27,5,0,-,91,38 + 5
150,경영대학,0140,경영,0142,71,127,BUSS331,00, 국제무역론(영강),편주현,BUSS331-00,0,1,5,6,28,30,18,28,16,9,0,-,67,65 + 9
151,경영대학,0140,경영,0142,72,127,BUSS340,00, 국제마케팅론,정인식,BUSS340-00,0,1,2,12,6,25,3,11,4,2,0,-,15,49 + 2
152,경영대학,0140,경영,0142,73,127,BUSS342,01, 소비자행동,박종원,BUSS342-01,0,1,13,9,35,27,19,15,4,2,0,-,71,52 + 2
153,경영대학,0140,경영,0142,74,127,BUSS342,02, 소비자행동,류강석,BUSS342-02,0,1,1,9,3,27,1,15,2,2,0,-,7,52 + 2
154,경영대학,0140,경영,0142,75,127,BUSS342,03, 소비자행동(영강),석관호,BUSS342-03,1,1,15,10,30,32,9,18,23,9,0,-,78,61 + 9
155,경영대학,0140,경영,0142,76,127,BUSS342,04, 소비자행동(영강),윤성아,BUSS342-04,1,1,7,7,19,23,3,13,15,6,0,-,45,44 + 6
156,경영대학,0140,경영,0142,77,127,BUSS344,01, 국제금융론(영강),정재호,BUSS344-01,0,1,2,6,36,32,22,21,14,9,0,-,74,60 + 9
157,경영대학,0140,경영,0142,78,127,BUSS344,02, 국제금융론(영강),조혜진,BUSS344-02,0,1,3,7,13,37,4,24,8,10,0,-,28,69 + 10
158,경영대학,0140,경영,0142,79,127,BUSS352,00, 세무회계,윤성수,BUSS352-00,0,1,9,10,35,40,12,16,3,3,0,-,59,67 + 3
159,경영대학,0140,경영,0142,80,127,BUSS354,00, 회계학이론,유승원,BUSS354-00,0,1,17,7,48,24,25,16,1,2,0,-,91,48 + 2
160,경영대학,0140,경영,0142,81,127,BUSS355,00, 노사관계론,김동원,BUSS355-00,0,1,6,9,34,33,37,28,0,3,0,-,77,71 + 3
161,경영대학,0140,경영,0142,82,127,BUSS358,01, 인적자원관리(영강),김광현,BUSS358-01,0,1,2,10,11,33,2,19,11,9,0,-,26,63 + 9
162,경영대학,0140,경영,0142,83,127,BUSS358,02, 인적자원관리(영강),김광현,BUSS358-02,0,1,3,7,5,23,6,13,5,6,0,-,19,44 + 6
163,경영대학,0140,경영,0142,84,127,BUSS361,00, 고급회계,정석우,BUSS361-00,0,1,1,9,17,40,5,21,1,3,0,-,24,71 + 3
164,경영대학,0140,경영,0142,85,127,BUSS362,00, 유통관리,김상용,BUSS362-00,0,1,13,11,45,31,41,28,2,3,0,-,101,71 + 3
